VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4_3	1773041184803	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041187160361400.png
PX4_4	1773041184932	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041187290401000.png
PX4_1	1773041185034	23.4505	7.53452	-9.50881	0.998325	-0.0071641	-0.0152307	0.0553567	img_PX4_1__0_1773041187395673300.png
PX4_2	1773041185142	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041187505613400.png
PX4_3	1773041185238	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041187602406600.png
PX4_4	1773041185334	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041187696821800.png
PX4_1	1773041185430	23.4247	7.4712	-9.50891	0.998351	-0.00221967	-0.0154676	0.0552345	img_PX4_1__0_1773041187799389400.png
PX4_2	1773041185547	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041187921361100.png
PX4_3	1773041185646	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041188029539900.png
PX4_4	1773041185754	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041188140560000.png
PX4_1	1773041185832	23.4468	7.40262	-9.50798	0.998365	0.00277595	-0.012211	0.055776	img_PX4_1__0_1773041188225591000.png
PX4_2	1773041185931	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041188323133000.png
PX4_3	1773041186024	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041188421177200.png
PX4_4	1773041186108	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041188505689000.png
PX4_1	1773041186186	23.498	7.35084	-9.50629	0.998344	0.00683936	-0.00767926	0.0565972	img_PX4_1__0_1773041188586875100.png
PX4_2	1773041186267	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041188668391400.png
PX4_3	1773041186345	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041188746509400.png
PX4_4	1773041186423	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041188828397200.png
PX4_1	1773041186495	23.5577	7.31974	-9.50408	0.998305	0.009111	-0.00314066	0.0574047	img_PX4_1__0_1773041188899810700.png
PX4_2	1773041186576	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041188979921300.png
PX4_3	1773041186666	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041189074310900.png
PX4_4	1773041186777	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041189188386600.png
PX4_1	1773041186873	23.6367	7.30513	-9.50084	0.998244	0.00984	0.00238537	0.0583736	img_PX4_1__0_1773041189285784500.png
PX4_2	1773041186966	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041189381699800.png
PX4_3	1773041187053	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041189471118600.png
PX4_4	1773041187137	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041189557338600.png
PX4_1	1773041187209	23.7008	7.31476	-9.49818	0.998188	0.00899601	0.00652445	0.0591358	img_PX4_1__0_1773041189633198000.png
PX4_2	1773041187299	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041189720631400.png
PX4_3	1773041187380	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041189804276500.png
PX4_4	1773041187461	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041189886738200.png
PX4_1	1773041187536	23.7485	7.34222	-9.49614	0.99815	0.0068231	0.00921934	0.0597143	img_PX4_1__0_1773041189961961900.png
PX4_2	1773041187620	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041190048598600.png
PX4_3	1773041187710	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041190144751300.png
PX4_4	1773041187803	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041190238523700.png
PX4_1	1773041187899	23.778	7.38732	-9.49447	0.998131	0.00389808	0.0104631	0.0600873	img_PX4_1__0_1773041190333952400.png
PX4_2	1773041187992	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041190427901000.png
PX4_3	1773041188079	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041190519917500.png
PX4_4	1773041188169	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041190609886700.png
PX4_1	1773041188247	23.7809	7.43927	-9.49312	0.998134	0.000399107	0.00994121	0.0602431	img_PX4_1__0_1773041190689247600.png
PX4_2	1773041188337	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041190784228000.png
PX4_3	1773041188430	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041190879218900.png
PX4_4	1773041188520	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041190970556000.png
PX4_1	1773041188610	23.759	7.49248	-9.49169	0.998154	-0.00323211	0.00783857	0.0601334	img_PX4_1__0_1773041191060711100.png
PX4_2	1773041188712	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041191166357500.png
PX4_3	1773041188847	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041191305435900.png
PX4_4	1773041188940	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041191403550000.png
PX4_1	1773041189021	23.7112	7.54123	-9.49026	0.998192	-0.00609285	0.0042583	0.0596518	img_PX4_1__0_1773041191487729500.png
PX4_2	1773041189111	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041191579359100.png
PX4_3	1773041189192	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041191663095000.png
PX4_4	1773041189270	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041191740997000.png
PX4_1	1773041189348	23.6633	7.56561	-9.48955	0.998226	-0.00728135	0.0010954	0.0590762	img_PX4_1__0_1773041191819392500.png
PX4_2	1773041189435	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041191907605600.png
PX4_3	1773041189525	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041192000225300.png
PX4_4	1773041189612	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041192089861200.png
PX4_1	1773041189705	23.6095	7.57493	-9.48936	0.998265	-0.00704012	-0.00227112	0.0584109	img_PX4_1__0_1773041192184339100.png
PX4_2	1773041189798	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041192276967000.png
PX4_3	1773041189882	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041192364126600.png
PX4_4	1773041189969	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041192453412100.png
PX4_1	1773041190047	23.5639	7.56775	-9.48963	0.998298	-0.00598856	-0.00491843	0.0578038	img_PX4_1__0_1773041192537931100.png
PX4_2	1773041190155	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041192650389600.png
PX4_3	1773041190263	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041192765459100.png
PX4_4	1773041190359	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041192864296700.png
PX4_1	1773041190443	23.5262	7.54367	-9.48991	0.998328	-0.00338488	-0.00711137	0.0572571	img_PX4_1__0_1773041192949125000.png
PX4_2	1773041190518	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041193025940500.png
PX4_3	1773041190614	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041193121965700.png
PX4_4	1773041190704	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041193213990100.png
PX4_1	1773041190785	23.5112	7.51488	-9.48996	0.998345	-0.00157392	-0.00750103	0.0569978	img_PX4_1__0_1773041193295379000.png
PX4_2	1773041190863	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041193374812400.png
PX4_3	1773041190926	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041193437447600.png
PX4_4	1773041190986	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041193498422700.png
PX4_1	1773041191040	23.5113	7.49149	-9.48972	0.998352	3.1145e-05	-0.00703682	0.0569467	img_PX4_1__0_1773041193553430000.png
PX4_2	1773041191097	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041193609288100.png
PX4_3	1773041191151	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041193665054800.png
PX4_4	1773041191211	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041193725546200.png
PX4_1	1773041191271	23.519	7.47075	-9.48938	0.998355	0.0019053	-0.00583199	0.0570036	img_PX4_1__0_1773041193784159100.png
PX4_2	1773041191337	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041193850371000.png
PX4_3	1773041191400	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041193913523700.png
PX4_4	1773041191463	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041193976124700.png
PX4_1	1773041191517	23.5339	7.45116	-9.48901	0.998359	0.00198944	-0.00285988	0.0571556	img_PX4_1__0_1773041194032112100.png
PX4_2	1773041191583	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041194098337900.png
PX4_3	1773041191649	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041194163473800.png
PX4_4	1773041191712	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041194227691100.png
PX4_1	1773041191766	23.5505	7.43222	-9.48805	0.998347	-0.0010693	0.00228403	0.0574157	img_PX4_1__0_1773041194281308500.png
PX4_2	1773041191829	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041194343192800.png
PX4_3	1773041191892	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041194407415800.png
PX4_4	1773041191952	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041194467989800.png
PX4_1	1773041192009	23.5646	7.41325	-9.48722	0.998308	0.00630263	-0.00269142	0.0577464	img_PX4_1__0_1773041194525061400.png
PX4_2	1773041192072	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041194588485200.png
PX4_3	1773041192132	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041194649359400.png
PX4_4	1773041192198	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041194714572000.png
PX4_1	1773041192258	23.5809	7.40073	-9.48662	0.998299	0.00498464	0.000311104	0.0580877	img_PX4_1__0_1773041194773763700.png
PX4_2	1773041192321	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041194837416700.png
PX4_3	1773041192378	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041194896431800.png
